,Дата,Количество лайков,Количество репостов,Количество просмотров,Количество комментариев,Количество вложений,Описание поста,Знак зодиака,Стихии
1,2024-04-23,669,107,12777,3,1,"24 апреля, Овен",Овен,Огонь
2,2024-04-23,438,54,7901,2,1,"24 апреля, Телец",Телец,Земля
3,2024-04-23,386,127,9472,3,1,"24 апреля, Близнецы",Близнецы,Воздух
4,2024-04-23,169,56,4947,2,1,"24 апреля, Рак",Рак,Вода
5,2024-04-23,700,118,10978,3,1,"24 апреля, Лев",Лев,Огонь
6,2024-04-23,425,57,7314,1,1,"24 апреля, Дева",Дева,Земля
7,2024-04-23,421,61,7051,0,1,"24 апреля, Весы",Весы,Воздух
8,2024-04-23,959,141,12687,3,1,"24 апреля, Скорпион",Скорпион,Вода
9,2024-04-23,382,94,9724,1,1,"24 апреля, Стрелец",Стрелец,Огонь
10,2024-04-23,737,152,12188,2,1,"24 апреля, Козерог",Козерог,Земля
11,2024-04-23,151,47,7381,7,1,24 апреля Водолей,Водолей,Воздух
12,2024-04-23,2561,532,36944,2,1,"24 апреля, Рыбы",Рыбы,Вода
13,2024-04-22,451,82,9554,1,1,"23 апреля, Овен",Овен,Огонь
14,2024-04-22,433,55,8697,1,1,"23 апреля, Телец",Телец,Земля
15,2024-04-22,371,76,8213,1,1,"23 апреля, Близнецы",Близнецы,Воздух
16,2024-04-22,324,85,5627,1,1,"23 апреля, Рак",Рак,Вода
17,2024-04-22,240,129,8337,5,1,"23 апреля, Лев",Лев,Огонь
18,2024-04-22,301,54,7212,3,1,"23 апреля, Дева",Дева,Земля
19,2024-04-22,262,99,6782,4,1,"23 апреля, Весы",Весы,Воздух
20,2024-04-22,206,40,7044,0,1,"23 апреля, Скорпион",Скорпион,Вода
21,2024-04-22,1407,273,23638,6,1,"23 апреля, Стрелец",Стрелец,Огонь
22,2024-04-22,295,78,6804,1,1,"23 апреля, Козерог",Козерог,Земля
23,2024-04-22,1915,414,24008,2,1,23 апреля Водолей,Водолей,Воздух
24,2024-04-22,391,113,11078,0,1,"23 апреля, Рыбы",Рыбы,Вода
25,2024-04-21,309,70,7603,15,1,"22 апреля, Овен",Овен,Огонь
26,2024-04-21,342,60,9492,1,1,"22 апреля, Телец",Телец,Земля
