,date,likes,reposts,views,comments,attachments,text
131777,1648532853,3502,295,142682,46,1,Что сейчас объединяет все знаки зодиака.
192876,1713898980,669,107,12777,3,1,"24 апреля, Овен"
192875,1713895380,438,54,7901,2,1,"24 апреля, Телец"
192872,1713891780,386,127,9472,3,1,"24 апреля, Близнецы"
192868,1713888180,169,56,4947,2,1,"24 апреля, Рак"
192863,1713884580,700,118,10978,3,1,"24 апреля, Лев"
192860,1713880980,425,57,7314,1,1,"24 апреля, Дева"
192856,1713877380,421,61,7051,0,1,"24 апреля, Весы"
192852,1713873780,959,141,12687,3,1,"24 апреля, Скорпион"
192850,1713870180,382,94,9724,1,1,"24 апреля, Стрелец"
192847,1713866580,737,152,12188,2,1,"24 апреля, Козерог"
192844,1713862980,151,47,7381,7,1,24 апреля Водолей
192832,1713861594,2561,532,36944,2,1,"24 апреля, Рыбы"
192821,1713812580,451,82,9554,1,1,"23 апреля, Овен"
192819,1713808980,433,55,8697,1,1,"23 апреля, Телец"
192817,1713805380,371,76,8213,1,1,"23 апреля, Близнецы"
192814,1713801780,324,85,5627,1,1,"23 апреля, Рак"
192809,1713798180,240,129,8337,5,1,"23 апреля, Лев"
192808,1713794580,301,54,7212,3,1,"23 апреля, Дева"
192801,1713790980,262,99,6782,4,1,"23 апреля, Весы"
192799,1713787380,206,40,7044,0,1,"23 апреля, Скорпион"
192796,1713783780,1407,273,23638,6,1,"23 апреля, Стрелец"
192794,1713780180,295,78,6804,1,1,"23 апреля, Козерог"
192793,1713776580,1915,414,24008,2,1,23 апреля Водолей
192780,1713774820,391,113,11078,0,1,"23 апреля, Рыбы"
192756,1713722580,309,70,7603,15,1,"22 апреля, Овен"
192754,1713718980,342,60,9492,1,1,"22 апреля, Телец"
192752,1713715380,172,68,8630,0,1,"22 апреля, Близнецы"
192747,1713711780,837,186,13611,2,1,"22 апреля, Рак"
192739,1713708180,289,53,6831,2,1,"22 апреля, Лев"
192735,1713704580,539,103,9219,3,1,"22 апреля, Дева"
192732,1713700980,150,55,8387,3,1,"22 апреля, Весы"
192731,1713697380,169,47,7351,2,1,"22 апреля, Скорпион"
192729,1713693780,425,63,7399,1,1,"22 апреля, Стрелец"
192727,1713690180,241,147,9436,4,1,"22 апреля, Козерог"
192725,1713686580,1239,214,17565,6,1,22 апреля Водолей
192724,1713682980,872,184,15672,4,1,"22 апреля, Рыбы"
192718,1713639780,462,71,7914,1,1,"21 апреля, Овен"
192716,1713636180,657,120,11372,3,1,"21 апреля, Телец"
192714,1713632580,254,49,5816,2,1,"21 апреля, Близнецы"
192710,1713628980,1454,211,22035,1,1,"21 апреля, Рак"
192709,1713625380,202,52,4859,0,1,"21 апреля, Лев"
192706,1713621780,241,60,5113,0,1,"21 апреля, Дева"
192703,1713618180,478,113,8962,2,1,"21 апреля, Весы"
192697,1713614580,726,157,13203,2,1,"21 апреля, Скорпион"
192694,1713610980,223,83,9249,2,1,"21 апреля, Стрелец"
192692,1713607380,759,176,12375,4,1,"21 апреля, Козерог"
192688,1713603780,494,72,10732,3,1,21 апреля Водолей
192686,1713600180,3702,491,40980,9,1,"21 апреля, Рыбы"
192679,1713553380,261,100,9595,1,1,"20 апреля, Овен"
192675,1713549780,271,56,6156,5,1,"20 апреля, Телец"
192673,1713546180,357,63,7739,1,1,"20 апреля, Близнецы"
192670,1713542580,626,137,14057,1,1,"20 апреля, Рак"
192667,1713538980,169,34,5456,3,1,"20 апреля, Лев"
192666,1713535380,176,41,4912,0,1,"20 апреля, Дева"
192660,1713531780,242,41,6174,2,1,"20 апреля, Весы"
192658,1713528181,230,26,5380,0,1,"20 апреля, Скорпион"
192656,1713524580,316,58,7051,1,1,"20 апреля, Стрелец"
192648,1713520980,192,67,6604,0,1,"20 апреля, Козерог"
192644,1713517380,1350,201,16724,2,1,20 апреля Водолей
192640,1713513780,695,95,14095,5,1,"20 апреля, Рыбы"
192569,1713466980,607,190,16306,1,1,"19 апреля, Овен"
192567,1713463380,663,154,15835,2,1,"19 апреля, Телец"
192562,1713459780,234,75,7108,3,1,"19 апреля, Близнецы"
192560,1713456180,201,38,9369,2,1,"19 апреля, Рак"
192555,1713452580,685,142,12657,6,1,"19 апреля, Лев"
192550,1713448980,333,55,7812,2,1,"19 апреля, Дева"
192544,1713445380,888,170,17569,15,1,"19 апреля, Весы"
192541,1713441780,321,143,10458,2,1,"19 апреля, Скорпион"
192539,1713438180,942,193,13301,2,1,"19 апреля, Стрелец"
192535,1713434580,370,106,10206,4,1,"19 апреля, Козерог"
192526,1713430980,1651,353,19539,8,1,19 апреля Водолей
192523,1713427380,1043,114,22074,8,1,"19 апреля, Рыбы"
192459,1713380580,313,77,14738,15,1,"18 апреля, Телец"
192451,1713376980,1527,342,27371,16,1,"18 апреля, Овен"
192448,1713373380,372,81,8929,2,1,"18 апреля, Близнецы"
192444,1713369780,206,44,9688,2,1,"18 апреля, Рак"
192443,1713366180,377,98,12780,8,1,"18 апреля, Лев"
192438,1713362580,255,49,6917,4,1,"18 апреля, Дева"
192432,1713358980,520,106,10753,3,1,"18 апреля, Весы"
192431,1713355380,212,48,7620,2,1,"18 апреля, Скорпион"
192428,1713351780,1561,264,27942,4,1,"18 апреля, Стрелец"
192423,1713348180,470,97,12269,1,1,"18 апреля, Козерог"
192422,1713344580,270,57,7224,1,1,18 апреля Водолей
192408,1713341581,1088,120,16312,4,1,"18 апреля, Рыбы"
192390,1713301380,772,196,16660,2,1,"17 апреля, Овен"
192387,1713297780,363,46,14666,4,1,"17 апреля, Телец"
192385,1713294180,396,133,9301,0,1,"17 апреля, Близнецы"
192383,1713290580,670,88,12973,1,1,"17 апреля, Рак"
192378,1713286980,469,128,9921,3,1,"17 апреля, Лев"
192372,1713283380,169,94,5992,0,1,"17 апреля, Дева"
192367,1713279780,753,117,14485,10,1,"17 апреля, Весы"
192362,1713276180,342,68,7872,5,1,"17 апреля, Скорпион"
192358,1713272580,325,63,7248,3,1,"17 апреля, Стрелец"
192355,1713268980,258,66,6190,1,1,"17 апреля, Козерог"
192351,1713265380,397,82,7858,5,1,17 апреля Водолей
192328,1713264069,663,123,11954,5,1,"17 апреля, Рыбы"
192311,1713214980,498,61,16509,8,1,"15 апреля, Овен"
192308,1713211380,587,81,11234,1,1,"15 апреля, Телец"
192303,1713207780,214,79,9116,4,1,"15 апреля, Близнецы"
192298,1713204180,269,69,10996,4,1,"15 апреля, Рак"
192294,1713200580,347,74,7980,5,1,"15 апреля, Лев"
192291,1713196980,317,68,7368,3,1,"15 апреля, Дева"
192286,1713193380,445,89,11159,4,1,"15 апреля, Весы"
192279,1713189780,196,59,5782,7,1,"15 апреля, Скорпион"
192278,1713186180,253,51,7179,0,1,"15 апреля, Стрелец"
192276,1713182580,1009,245,22369,6,1,"15 апреля, Козерог"
192272,1713178980,457,132,10421,2,1,15 апреля Водолей
192260,1713178022,583,79,13888,0,1,"15 апреля, Рыбы"
192246,1713117780,1125,215,24925,1,1,"14 апреля, Овен"
192245,1713114180,554,103,14499,2,1,"14 апреля, Телец"
192242,1713110580,383,75,9015,0,1,"14 апреля, Близнецы"
192241,1713106980,898,121,13669,1,1,"14 апреля, Рак"
192237,1713103380,329,56,8500,1,1,"14 апреля, Лев"
192232,1713099780,258,57,6687,4,1,"14 апреля, Дева"
192230,1713096180,431,56,11201,3,1,"14 апреля, Весы"
192229,1713092580,452,53,9143,3,1,"14 апреля, Скорпион"
192224,1713088980,469,121,8601,2,1,"14 апреля, Стрелец"
192221,1713085380,315,81,6306,0,1,"14 апреля, Козерог"
192216,1713081780,326,61,7888,2,1,14 апреля Водолей
192213,1713078180,487,82,11895,0,1,"14 апреля, Рыбы"
192200,1713038580,635,64,12687,1,1,"13 апреля, Овен"
192193,1713031380,377,48,7521,1,1,"13 апреля, Телец"
192191,1713027780,360,78,7882,0,1,"13 апреля, Близнецы"
192189,1713024180,268,76,6600,3,1,"13 апреля, Рак"
192187,1713020580,291,31,6371,2,1,"13 апреля, Лев"
192182,1713016980,189,42,5436,2,1,"13 апреля, Дева"
192180,1713013380,488,158,16468,7,1,"13 апреля, Весы"
192172,1713009780,479,99,7399,3,1,"13 апреля, Скорпион"
192170,1713006180,408,74,10008,3,1,"13 апреля, Стрелец"
192164,1713002580,328,76,7395,0,1,"13 апреля, Козерог"
192161,1712998980,8290,1935,162753,60,1,13 апреля Водолей
192160,1712995380,1852,172,24039,7,1,"13 апреля, Рыбы"
192150,1712948580,539,78,13408,0,1,"12 апреля, Овен"
192145,1712944980,421,103,9302,0,1,"12 апреля, Телец"
192142,1712941380,349,57,8120,0,1,"12 апреля, Близнецы"
192139,1712937780,379,40,6924,5,1,"12 апреля, Рак"
192137,1712934180,255,41,6178,0,1,"12 апреля, Лев"
192132,1712930580,273,42,7568,4,1,"12 апреля, Дева"
192130,1712926980,303,59,5795,0,1,"12 апреля, Весы"
192127,1712923380,147,28,5540,1,1,"12 апреля, Скорпион"
192121,1712919780,1065,164,19732,2,1,"12 апреля, Стрелец"
192116,1712916180,205,38,8493,0,1,"12 апреля, Козерог"
192113,1712912582,428,59,6725,1,1,12 апреля Водолей
192105,1712908980,338,80,7194,6,1,"12 апреля, Рыбы"
192046,1712862180,412,84,8477,3,1,"11 апреля, Овен"
192041,1712858580,1182,161,20017,10,1,"11 апреля, Телец"
192036,1712854980,396,164,10396,4,1,"11 апреля, Близнецы"
192032,1712851380,328,101,9166,1,1,"11 апреля, Рак"
192030,1712847780,443,75,8729,1,1,"11 апреля, Лев"
192024,1712844180,706,161,11411,2,1,"11 апреля, Дева"
192017,1712840580,669,111,11350,3,1,"11 апреля, Весы"
192015,1712836980,400,98,9887,0,1,"11 апреля, Скорпион"
191998,1712833380,679,88,11793,1,1,"11 апреля, Стрелец"
191985,1712829780,891,220,15232,5,1,"11 апреля, Козерог"
191983,1712826180,399,76,12336,0,1,11 апреля Водолей
191970,1712824468,420,83,8153,0,1,"11 апреля, Рыбы"
191943,1712775780,648,152,17463,6,1,"10 апреля, Овен"
191940,1712772180,1316,163,18123,3,1,"10 апреля, Телец"
191935,1712768580,391,107,13921,2,1,"10 апреля, Близнецы"
191926,1712764980,420,58,8130,3,1,
